term_id,standard_term,synonyms,category,definition,source_doc,source_location,evidence_snippet,confidence_score,diff_status,review_status,reviewer_note
AD-0068,영업구좌,영업 구좌|담당 구좌,영업 프로세스,공사 영업사원이 개별 광고회사 및 광고주를 전담하여 관리하기 위해 코바넷 시스템상에 바인딩된 관리 단위.,2025 영업실무핸드북.pdf,p.53 / chunk_53,등록된 영업사원의 영업구좌를 관리 및 이동 처리할 때 사용,0.94,신규,보류,중요도 68위 | 사원별 영업 바인딩
AD-0069,구좌내보내기,구좌 내보내기|구좌 이관,영업 프로세스,담당 영업사원 변경 시 자신이 소유한 영업 구좌를 다른 영업사원이 인수할 수 있도록 양도 목록으로 내보내는 기능.,2025 영업실무핸드북.pdf,p.54 / chunk_54,영업구좌개편을 하기 위해서는 넘겨줄 영업사원이 구좌를 다른 사람이 가져갈 수 있도록 [구좌 내보내기]를 해야 한다,0.93,신규,보류,중요도 69위 | 영업 구좌 인수양도
AD-0070,구좌가져오기,구좌 가져오기|구좌 수임,영업 프로세스,다른 영업사원이 [구좌내보내기] 처리한 담당 구좌를 자신의 영업 구좌로 불러와 등록하는 기능.,2025 영업실무핸드북.pdf,p.54 / chunk_54,타 영업사원이 [구좌내보내기] 처리한 구좌를 [구좌가져오기]를 통해 내 구좌로 등록할 수 있다,0.93,신규,보류,중요도 70위 | 영업 구좌 인수등록
AD-0071,방송광고 심의,방송광고 사전심의|광고심의,법규/제한,방송미디어통신심의위원회 규칙 및 관련 법령에 따라 방송 전 광고 내용의 공정성과 적법성을 사전에 검증하는 절차.,2025 영업실무핸드북.pdf,p.31 / chunk_31,방송미디어통신심의위원회는 방송의 공정성 및 공공성을 심의하기 위하여 방송광고 심의에 관한 규정을 제정,0.97,신규,보류,중요도 71위 | 사전 규제 법규
AD-0072,방송광고판매대행법,미디어렙법|방송광고 판매대행 등에 관한 법률,법규/제한,"방송광고 판매 대행사의 설립 조건, 수탁·대행 수수료율, 결합판매 의무 등을 규정한 방송광고 시장의 기본 법률.",2025 영업실무핸드북.pdf,p.10 / chunk_10,방송광고판매대행 등에 관한 법률 제16조(방송광고 수수료),0.98,신규,보류,중요도 72위 | 핵심 법률 근거
AD-0073,주류광고 제한,주류 방송광고 금지|주류광고 제한시간,법규/제한,알코올 도수 17도 이상 주류 광고 금지 및 TV(07:00~22:00) 방송광고 금지 시간대를 규정한 국민건강증진법상 제한.,2025 영업실무핸드북.pdf,p.35 / chunk_35,텔레비전 방송광고 07:00 - 22:00 주류광고 금지. 알콜성분 17도 이상의 주류 방송광고 금지,0.96,신규,보류,중요도 73위 | 주류 방송 제한
AD-0074,청소년 유해매체물,청소년유해매체물 방송제한|청소년 보호시간대,법규/제한,"청소년 보호법에 따라 청소년 시청 보호시간대(평일 07~09시, 13~22시 등)에 광고 방송을 금지하는 규제.",2025 영업실무핸드북.pdf,p.35 / chunk_35,청소년유해매체물의 방송광고는 청소년 시청 보호시간대에 방송하여서는 안된다,0.95,신규,보류,중요도 74위 | 청소년 보호 규제
AD-0075,선거방송 제한,공직선거 방송광고 제한|후보자 모델 금지,법규/제한,공직선거법에 따라 선거일 전 90일부터 선거일까지 후보자가 모델인 광고의 방송 및 정당 명의 광고를 제한하는 규정.,2025 영업실무핸드북.pdf,p.34 / chunk_34,선거일전 90일부터 선거일까지 후보자가 모델이 된 광고를 방송하여서는 아니된다,0.95,신규,보류,중요도 75위 | 선거 기간 규제
AD-0076,고열량 저영양 식품 광고제한,고열량 저영양 방송제한|어린이 시간대 광고제한,법규/제한,어린이 식생활안전관리 특별법에 따라 오후 5시~7시 및 어린이 프로그램 중간광고 방송을 금지하는 제한.,2025 영업실무핸드북.pdf,p.35 / chunk_35,오후 5~7시 어린이 주시청 프로그램에 한해 광고 금지 어린이 주시청 프로그램 중간광고 금지,0.94,신규,보류,중요도 76위 | 어린이 식품 규제
AD-0077,대부업광고 제한,대부업 방송광고 시간제한|대부업 광고제한,법규/제한,"대부업법에 따라 평일 07~09시, 13~22시 및 토·공휴일 07~22시 방송광고 송출을 전면 금지하는 규정.",2025 영업실무핸드북.pdf,p.35 / chunk_35,대부업자 등은 평일 7~9시 13~22시 / 토요일 및 공휴일 7~22시 방송광고 금지,0.94,신규,보류,중요도 77위 | 대부업 방송 제한
AD-0078,저축은행광고 제한,저축은행 방송광고 금지시간|저축은행 자율규제,법규/제한,저축은행 중앙회 심의 규정에 의거 특정 시청 보호 시간대에 저축은행 방송광고 노출을 제한하는 규정.,2025 영업실무핸드북.pdf,p.35 / chunk_35,저축은행은 평일 7~9시 13~22시 / 토요일 및 공휴일 7~22시 방송광고 금지,0.93,신규,보류,중요도 78위 | 저축은행 금융 규제
AD-0079,어린이 프로그램 자막표기,광고방송 자막표기|어린이 프로그램 자막,법규/제한,어린이 대상 프로그램 광고 시간 동안 화면 우상단 등에 화면 1/64 이상 크기로 '광고방송' 자막을 계속 표기해야 하는 의무.,2025 영업실무핸드북.pdf,p.36 / chunk_36,어린이 대상 프로그램의 광고 시간에 화면 크기의 64분의1 이상의 크기로 '광고방송'이라는 자막을 계속해서 표기해야 함,0.95,신규,보류,중요도 79위 | 자막 표기 법적 의무
AD-0080,SBS M&C,에스비에스엠앤씨|SBS 미디어렙,매체/사업자,"SBS TV 및 라디오, 지역 민방(10개사)의 방송광고 판매를 전담 대행하는 민영 미디어렙사.",2025 영업실무핸드북.pdf,p.3 / chunk_03,SBS M&C 대행매체 현황... SBS-TV 및 10개 지역 민방 판매대행,0.97,신규,보류,중요도 80위 | 민영 방송 대행사
AD-0081,종편 미디어렙,종합편성채널 미디어렙|종편 렙사,매체/사업자,"JTBC, TV조선, 채널A, MBN 등 종합편성 방송사의 방송광고를 개별 판매 대행하는 법인들(제이티비씨미디어컴 등).",2025 영업실무핸드북.pdf,p.4 / chunk_04,종편 미디어렙 및 대행매체 현황 (JTBC TV조선 채널A MBN 미디어렙),0.96,신규,보류,중요도 81위 | 종편 대행 법인
AD-0082,대행매체,대행 매체|위탁 매체,매체/사업자,"미디어렙사가 방송광고 판매권 및 영업을 위탁받아 대행하는 지상파, 종편, 라디오, DMB 등의 방송 채널.",2025 영업실무핸드북.pdf,p.2 / chunk_02,KOBACO 대행매체 현황 : 지상파 TV 라디오 DMB 등 27개 매체,0.96,신규,보류,중요도 82위 | 영업 대상 매체 채널
AD-0083,지상파DMB,DMB|이동멀티미디어방송,광고상품/편성유형,이동형 멀티미디어 수신 장치로 송출되는 지상파 방송 및 광고 매체.,2025 영업실무핸드북.pdf,p.7 / chunk_07,지상파이동멀티미디어방송(지상파 DMB) 중간광고 및 토막광고 허용량 기준,0.94,신규,보류,중요도 83위 | DMB 매체 상품
AD-0084,권역판매,권역 판매|권역별 자동배분,판매방식,"TV 및 라디오의 특정 권역(서울, 부산, 대구 등)별로 결합하여 릴레이 판매하거나 배분하는 판매 방식.",2025 영업실무핸드북.pdf,p.17 / chunk_17,권역판매(릴레이 자동배분) - TV 라디오 권역판매,0.93,신규,보류,중요도 84위 | 권역 단위 결합판매
AD-0085,릴레이 자동배분,릴레이 배분|자동배분 체계,판매방식,본사 광고 판매 시 지정 비율에 따라 지역 계열사에 광고 매출 전파료가 자동으로 릴레이 분배되는 방식.,2025 영업실무핸드북.pdf,p.17 / chunk_17,권역판매(릴레이 자동배분) 토막 자막 시보광고 적용,0.92,신규,보류,중요도 85위 | 전파료 자동 배분
AD-0086,부실채권,악성채권|부도채권|미수채권,사고/예외처리,"광고료 결제 지연, 지급보증 미제출, 부도 발생 등으로 회수가 불확실하여 특별 관리 대상이 된 채권.",2025 영업실무핸드북.pdf,p.42 / chunk_42,부실채권 발생 징후 발견시 바로 부실채권 예방 조치를 취해야 함,0.95,신규,보류,중요도 86위 | 채권 회수 리스크
AD-0087,내용증명우편,내용증명|채무이행 촉구 우편,영업 프로세스,광고료 미납이나 거래 약정 위반 시 법적 확정일자와 송달 증거력을 확보하기 위해 우체국을 통해 발송하는 최고 공문.,2025 영업실무핸드북.pdf,p.43 / chunk_43,우체국에서 당해 우편물의 문서 내용이 송달되었음을 증명하여 주는 제도. 어떠한 내용의 문서가 송달 되었다는 증거,0.94,신규,보류,중요도 87위 | 법적 채무 촉구
AD-0088,신탁중지,신탁 중지|영업 신탁중지,영업 프로세스,부도 또는 채무 불이행 광고회사에 대해 신규 방송광고 청약 수탁 접수를 중단하는 통제 조치.,2025 영업실무핸드북.pdf,p.43 / chunk_43,미이행시 해당 광고회사 신탁 중지 통보 (본지사 영업팀 대상),0.93,신규,보류,중요도 88위 | 채권 회수 통제 조치
AD-0089,신탁조기마감,신탁 조기마감|조기 신탁마감,영업 프로세스,부도 발생 등 부실 채권 위험 시 정기 마감일(익월 1일) 이전이라도 공사 채권액을 즉시 확정짓기 위해 수행하는 마감.,2025 영업실무핸드북.pdf,p.43 / chunk_43,모니터불일치 점검 등 신탁마감 작업 조기 정리 후 공사 채권액 확정,0.93,신규,보류,중요도 89위 | 비상 마감 조치
AD-0090,채권 양도/양수,채권양도양수|채권 양도계약,수수료/정산,광고회사의 보증 한도 부족 시 광고주에 대한 채권을 공사가 직접 양수받아 수금할 수 있도록 체결하는 계약.,2025 영업실무핸드북.pdf,p.43 / chunk_43,광고회사와 채권 양도/양수 계약체결 광고주 직접 수금,0.94,신규,보류,중요도 90위 | 직접 수금 전환 계약
AD-0091,대표소재,대표 소재|품목 대표소재,시스템/플랫폼,"동일 품목의 여러 초수(15초, 30초 등) 광고 영상을 효율적으로 관리하기 위해 코바넷에 대표 등록하는 상위 소재 그룹.",2025 영업실무핸드북.pdf,p.56 / chunk_56,소재정보는 품목 대표소재 소재 초수로 구성되며 순서대로 정보를 등록,0.93,신규,보류,중요도 91위 | 소재 계층 구조
AD-0092,초수상세정보,초수 상세정보|소재 초수상세,시스템/플랫폼,코바넷 소재 등록 시 해당 광고의 정확한 런닝 타임 초수 및 케이블/지상파 전용 여부를 설정하는 세부 속성.,2025 영업실무핸드북.pdf,p.57 / chunk_57,초수상세정보에 케이블전용으로 체크된 경우 지상파 다운로드 불가,0.92,신규,보류,중요도 92위 | 초수 및 매체 전용 설정
AD-0093,심의번호,광고 심의번호|심의 필번호,법규/제한,CmReview 사전 심의를 통과한 광고 소재에 부여되는 식별 코드 (예: 12-TH-11-132).,2025 영업실무핸드북.pdf,p.64 / chunk_64,소재 등록 번호 체계 (해당년도-식별자-해당월-일련번호 예: 12-TH-00-000),0.95,신규,보류,중요도 93위 | 심의 통과 식별코드
AD-0094,디지베타,DigiBeta|디지베타 테잎|Digital Betacam,시스템/플랫폼,KODEX 전산 전송 이전 또는 방송사 제출용으로 사용되는 물리적 SD급 테이프 매체 포맷.,2025 영업실무핸드북.pdf,p.60 / chunk_60,소재 제출 방식 Tape : 디지베타 테잎 HDCAM 테잎,0.91,신규,보류,중요도 94위 | 물리적 방송 테이프
AD-0095,HDCAM,에이치디캠|HDCAM 테잎|HD 테이프,시스템/플랫폼,고화질(HD) 방송 광고 소재를 방송사에 테이프 형태로 전달할 때 사용되는 비디오 테이프 포맷.,2025 영업실무핸드북.pdf,p.60 / chunk_60,TV 소재 제출 방식 : 디지베타 테잎 HDCAM 테잎,0.92,신규,보류,중요도 95위 | HD급 방송 테이프
AD-0096,XDCAM,엑스디캠|MXF파일|HD파일소재,시스템/플랫폼,KODEX 시스템에서 사용하는 HD급(1920*1080 MXF 포맷) 표준 파일 기반 광고 소재 저장 포맷.,2025 영업실무핸드북.pdf,p.60 / chunk_60,File HD : XDCAM MXF (1920*1080),0.93,신규,보류,중요도 96위 | 파일 기반 HD 소재
AD-0097,채널제한,채널제한 소재|매체 제한,법규/제한,"심의 결과 특정 매체(예: 케이블 전용, 지상파 송출 불가 등)에 대해서만 방송 송출이 허용되도록 설정된 소재 상태.",2025 영업실무핸드북.pdf,p.62 / chunk_62,심의결과는 방송가능 / 채널제한 / 시간제한 / 방송불가 / 심의보류로 구분,0.93,신규,보류,중요도 97위 | 심의 결과 채널 통제
AD-0098,시간제한 소재,시간제한|방송제한시간,법규/제한,주류 또는 특정 품목 심의에 따라 지정된 시간대(예: 07~22시 방송 금지)에만 방송이 제한되는 광고 소재.,2025 영업실무핸드북.pdf,p.57 / chunk_57,방송제한시간 소재임 (방송제한시간 : 0700~2200) 문구가 방송사 운행의뢰서에 표시됨,0.94,신규,보류,중요도 98위 | 시간대별 심의 제한
AD-0099,대행계약 품목 가져오기,이전 대행계약 품목 가져오기|품목 이관,영업 프로세스,대행사 변경 또는 과거 만료된 대행계약에 등록되어 있던 품목 및 소재 정보를 현재 대행계약으로 간편하게 이관해오는 코바넷 기능.,2025 영업실무핸드북.pdf,p.65 / chunk_65,대행이동으로 인해 타 대행사로부터 품목/소재를 가져와야 하는 경우 또는 만료된 이전 대행계약에 있는 품목/소재정보를 가져와서 등록,0.92,신규,보류,중요도 99위 | 품목 정보 수임 기능
AD-0100,임시저장,임시 저장|코바넷 임시저장,영업 프로세스,광고회사가 KOBAnet에 입력중인 상태로 아직 공사 영업사원에게 정식 전송되지 않은 대기 상태.,2025 영업실무핸드북.pdf,p.58 / chunk_58,임시저장 : 광고회사가 KOBAnet에 입력중인 상태 공사로 업무연락 안한 상태임,0.94,신규,보류,중요도 100위 | 작성 중 임시 상태
